parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
,,,,,,,,,,,,Star Air,E100002014935,3170428,Adampur Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172077,Agartala - Maharaja Bir Bikram Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3172077,Agartala - Maharaja Bir Bikram Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,3172077,Agartala - Maharaja Bir Bikram Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172077,Agartala - Maharaja Bir Bikram Airport,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,3172077,Agartala - Maharaja Bir Bikram Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,3170417,Agatti Airport,transportation,domestic-aviation
,,,,,,,,,,,,Fly91,E100002019135,3170417,Agatti Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3170417,Agatti Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3170412,Agra Airport / Agra Air Force Station,transportation,domestic-aviation
,,,,,,,,,,,,flybig,E100002014579,40683352,Aligarh Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India,E100002014292,3172092,Aurangabad Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3172092,Aurangabad Airport,transportation,domestic-aviation
,,,,,,,,,,,,Air India Express,E100002014293,40682055,Ayodhya Airport,transportation,domestic-aviation
,,,,,,,,,,,,Akasa Air,E100002014348,40682055,Ayodhya Airport,transportation,domestic-aviation
,,,,,,,,,,,,Alliance Air,E100002014360,40682055,Ayodhya Airport,transportation,domestic-aviation
,,,,,,,,,,,,IndiGo,E100002014647,40682055,Ayodhya Airport,transportation,domestic-aviation
