parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
,,,,,,,,,,,,Royal Bhutan Airlines,E100002014850,3167172,Bagdogra Airport,transportation,international-aviation
,,,,,,,,,,,,AirAsia,E100002014334,3165706,Biju Patnaik International Airport,transportation,international-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3165706,Biju Patnaik International Airport,transportation,international-aviation
,,,,,,,,,,,,Air Arabia,E100002014253,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,Air Arabia Abu Dhabi,E100002014254,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,AirAsia,E100002014334,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,Etihad Airways,E100002014545,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,FLYNAS,E100002014587,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,Flydubai,E100002014581,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,Gulf Air,E100002014617,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,Oman Air,E100002014792,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,Qatar Airways,E100002014831,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,SalamAir,E100002014864,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,SpiceJet,E100002014928,3166044,Calicut International Airport,transportation,international-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3167173,Chandigarh International Airport,transportation,international-aviation
,,,,,,,,,,,,Air India Express,E100002014293,3167728,Chaudhary Charan Singh International Airport,transportation,international-aviation
,,,,,,,,,,,,AirAsia,E100002014334,3167728,Chaudhary Charan Singh International Airport,transportation,international-aviation
,,,,,,,,,,,,FLYNAS,E100002014587,3167728,Chaudhary Charan Singh International Airport,transportation,international-aviation
,,,,,,,,,,,,Flydubai,E100002014581,3167728,Chaudhary Charan Singh International Airport,transportation,international-aviation
,,,,,,,,,,,,IndiGo,E100002014647,3167728,Chaudhary Charan Singh International Airport,transportation,international-aviation
,,,,,,,,,,,,Oman Air,E100002014792,3167728,Chaudhary Charan Singh International Airport,transportation,international-aviation
