parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
IGH Holdings Pvt Ltd,E100001010419,legal entity,335800E52FQAZNBKW310,5000932187,IND,IND,,IGH Holdings Pvt Ltd -> Hindalco Industries Ltd [15.58%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
Hindalco Industries Ltd,E100000120560,legal entity,335800KXLE5NO5B4GF90,4295873625,IND,IND,,Hindalco Industries Ltd -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,,Life Insurance Corporation of India Ltd -> Hindalco Industries Ltd [9.65%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
Birla Group Holdings Pvt Ltd,E100001010420,legal entity,335800ILCQTLE8K8I628,5000003697,IND,IND,,Birla Group Holdings Pvt Ltd -> Hindalco Industries Ltd [10.16%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Hindalco Industries Ltd [5.16%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
Essel Mining & Industries Ltd,E100000153045,legal entity,3358006SBGEK8EC3HC67,4296015221,IND,IND,,Essel Mining & Industries Ltd -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> Hindalco Industries Ltd [59.45%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
Aditya Birla Management Corporation Pvt Ltd,E100000120031,legal entity,335800GITXOP4O6TQM65,5000053377,IND,IND,,Aditya Birla Management Corporation Pvt Ltd -> Essel Mining & Industries Ltd [unknown %] -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
Government of India,E100001000397,state,,5000055448,,IND,,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> Hindalco Industries Ltd [9.65%] -> Amtipani Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233098,Amtipani Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Argat Mine [unknown %],,natural person(s),E100000123261,,,42233099,Argat Mine,mineral-extraction,bauxite-mining
Vedanta Resources PLC,E100002011099,,,,,,,Vedanta Resources PLC -> Ariyurnadu Mine [unknown %],,Vedanta Resources PLC,E100002011099,,,42233100,Ariyurnadu Mine,mineral-extraction,bauxite-mining
Bombay Minerals Ltd,E100002011100,,,,,,,Bombay Minerals Ltd -> Asota-Mewasa Mine [unknown %],,Bombay Minerals Ltd,E100002011100,,,42233101,Asota-Mewasa Mine,mineral-extraction,bauxite-mining
Orient Ceratech Ltd,E100002011101,,,,,,,Orient Ceratech Ltd -> Avariyar-II Mine [unknown %],,Orient Ceratech Ltd,E100002011101,,,42233102,Avariyar-II Mine,mineral-extraction,bauxite-mining
Alatge Stone Crushing Industries,E100002011102,,,,,,,Alatge Stone Crushing Industries  -> Bagmandala Mine [unknown %],,Alatge Stone Crushing Industries,E100002011102,,,42233104,Bagmandala Mine,mineral-extraction,bauxite-mining
Government of India,E100001000397,state,,5000055448,,IND,,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> Hindalco Industries Ltd [9.65%] -> Bagru-Bhusar Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233105,Bagru-Bhusar Mine,mineral-extraction,bauxite-mining
IGH Holdings Pvt Ltd,E100001010419,legal entity,335800E52FQAZNBKW310,5000932187,IND,IND,,IGH Holdings Pvt Ltd -> Hindalco Industries Ltd [15.58%] -> Bagru-Bhusar Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233105,Bagru-Bhusar Mine,mineral-extraction,bauxite-mining
Hindalco Industries Ltd,E100000120560,legal entity,335800KXLE5NO5B4GF90,4295873625,IND,IND,,Hindalco Industries Ltd -> Bagru-Bhusar Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233105,Bagru-Bhusar Mine,mineral-extraction,bauxite-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,,Life Insurance Corporation of India Ltd -> Hindalco Industries Ltd [9.65%] -> Bagru-Bhusar Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233105,Bagru-Bhusar Mine,mineral-extraction,bauxite-mining
