parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Dalpahar Iron & Manganese Mines Pvt Ltd,E100002002856,legal entity,not found,not found,IND,IND,100.0,Dalpahar Iron & Manganese Mines Pvt Ltd -> Appu Hati Mine [100.0%],,Dalpahar Iron & Manganese Mines Pvt Ltd,E100002002856,,,43158128,Appu Hati Mine,mineral-extraction,iron-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,10.08,natural person(s)  -> National Mineral Development Corp Ltd [10.08%] -> Bacheli Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158129,Bacheli Mine,mineral-extraction,iron-mining
National Mineral Development Corp Ltd,E100001000686,legal entity,335800IXHXOHQ7B2HP66,4295874011,IND,IND,100.0,National Mineral Development Corp Ltd -> Bacheli Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158129,Bacheli Mine,mineral-extraction,iron-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,22.27,small shareholder(s)  -> National Mineral Development Corp Ltd [22.27%] -> Bacheli Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158129,Bacheli Mine,mineral-extraction,iron-mining
Government of India,E100001000397,state,,5000055448,,IND,60.79,Government of India  -> National Mineral Development Corp Ltd [60.79%] -> Bacheli Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158129,Bacheli Mine,mineral-extraction,iron-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,6.86,Life Insurance Corporation of India Ltd -> National Mineral Development Corp Ltd [6.86%] -> Bacheli Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158129,Bacheli Mine,mineral-extraction,iron-mining
GM Iron & Steel Co Ltd,E100002000370,legal entity,,5083344362,IND,IND,100.0,GM Iron & Steel Co Ltd -> Badampahar Mine [100.0%],,GM Iron & Steel Co Ltd,E100002000370,,,43158130,Badampahar Mine,mineral-extraction,iron-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,10.08,natural person(s)  -> National Mineral Development Corp Ltd [10.08%] -> Bailadila Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158133,Bailadila Mine,mineral-extraction,iron-mining
National Mineral Development Corp Ltd,E100001000686,legal entity,335800IXHXOHQ7B2HP66,4295874011,IND,IND,100.0,National Mineral Development Corp Ltd -> Bailadila Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158133,Bailadila Mine,mineral-extraction,iron-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,22.27,small shareholder(s)  -> National Mineral Development Corp Ltd [22.27%] -> Bailadila Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158133,Bailadila Mine,mineral-extraction,iron-mining
Government of India,E100001000397,state,,5000055448,,IND,60.79,Government of India  -> National Mineral Development Corp Ltd [60.79%] -> Bailadila Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158133,Bailadila Mine,mineral-extraction,iron-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,6.86,Life Insurance Corporation of India Ltd -> National Mineral Development Corp Ltd [6.86%] -> Bailadila Mine [100.0%],,National Mineral Development Corp Ltd,E100001000686,,,43158133,Bailadila Mine,mineral-extraction,iron-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Serajuddin & Co [unknown %] -> Balda Block Mine [100.0%],,Serajuddin & Co,E100001016270,,,43158136,Balda Block Mine,mineral-extraction,iron-mining
Serajuddin & Co,E100001016270,legal entity,98450051CE4A3E9E1B69,5001423902,IND,IND,100.0,Serajuddin & Co -> Balda Block Mine [100.0%],,Serajuddin & Co,E100001016270,,,43158136,Balda Block Mine,mineral-extraction,iron-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,0.19,natural person(s)  -> Life Insurance Corporation of India Ltd [2.09%] -> Steel Authority of India Ltd [9.0%] -> Barsua Mine [100.0%],,Steel Authority of India Ltd,E100001000703,,,43158142,Barsua Mine,mineral-extraction,iron-mining
Steel Authority of India Ltd,E100001000703,legal entity,335800ZJXMF183ZCQI90,4295872623,IND,IND,100.0,Steel Authority of India Ltd -> Barsua Mine [100.0%],,Steel Authority of India Ltd,E100001000703,,,43158142,Barsua Mine,mineral-extraction,iron-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,26.0,small shareholder(s)  -> Steel Authority of India Ltd [26.0%] -> Barsua Mine [100.0%],,Steel Authority of India Ltd,E100001000703,,,43158142,Barsua Mine,mineral-extraction,iron-mining
Government of India,E100001000397,state,,5000055448,,IND,65.0,Government of India  -> Steel Authority of India Ltd [65.0%] -> Barsua Mine [100.0%],,Steel Authority of India Ltd,E100001000703,,,43158142,Barsua Mine,mineral-extraction,iron-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,9.0,Life Insurance Corporation of India Ltd -> Steel Authority of India Ltd [9.0%] -> Barsua Mine [100.0%],,Steel Authority of India Ltd,E100001000703,,,43158142,Barsua Mine,mineral-extraction,iron-mining
3A Capital Services Ltd,E100002002888,legal entity,,4298133931,IND,IND,6.53,3A Capital Services Ltd -> Orissa Minerals Development Co Ltd [6.53%] -> Bhadrasahi Mine [100.0%],,Orissa Minerals Development Co Ltd,E100002002882,,,43158146,Bhadrasahi Mine,mineral-extraction,iron-mining
Eastern Investments Ltd,E100002002885,legal entity,not found,5000733296,IND,IND,50.01,Eastern Investments Ltd -> Orissa Minerals Development Co Ltd [50.01%] -> Bhadrasahi Mine [100.0%],,Orissa Minerals Development Co Ltd,E100002002882,,,43158146,Bhadrasahi Mine,mineral-extraction,iron-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,0.14,natural person(s)  -> Life Insurance Corporation of India Ltd [2.09%] -> Orissa Minerals Development Co Ltd [6.56%] -> Bhadrasahi Mine [100.0%],,Orissa Minerals Development Co Ltd,E100002002882,,,43158146,Bhadrasahi Mine,mineral-extraction,iron-mining
Orissa Minerals Development Co Ltd,E100002002882,legal entity,,4298030583,IND,IND,100.0,Orissa Minerals Development Co Ltd -> Bhadrasahi Mine [100.0%],,Orissa Minerals Development Co Ltd,E100002002882,,,43158146,Bhadrasahi Mine,mineral-extraction,iron-mining
