parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Government of India ,E100001000397,state,,5000055448,,IND,51.1,Government of India  -> NTPC Ltd [51.1%] -> North Eastern Electric Power Corp Ltd [100.0%] -> AGARTALA [100.0%],"5456,6070,5455",North Eastern Electric Power Corp Ltd,E100000001930,,,448749,AGARTALA,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,48.9,small shareholder(s)  -> NTPC Ltd [48.9%] -> North Eastern Electric Power Corp Ltd [100.0%] -> AGARTALA [100.0%],"5456,6070,5455",North Eastern Electric Power Corp Ltd,E100000001930,,,448749,AGARTALA,power,electricity-generation
NTPC Ltd,E100000001926,legal entity,335800Q4TRGJXNLVMB81,4295874173,IND,IND,100.0,NTPC Ltd -> North Eastern Electric Power Corp Ltd [100.0%] -> AGARTALA [100.0%],,North Eastern Electric Power Corp Ltd,E100000001930,,,448749,AGARTALA,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,5.34,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> Ambuja Cements Ltd [5.53%] -> AMBUJANAGAR CEMENT [100.0%],108888,Ambuja Cements Ltd,E100001000639,,,450638,AMBUJANAGAR CEMENT,power,electricity-generation
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,5.53,Life Insurance Corporation of India Ltd -> Ambuja Cements Ltd [5.53%] -> AMBUJANAGAR CEMENT [100.0%],,Ambuja Cements Ltd,E100001000639,,,450638,AMBUJANAGAR CEMENT,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,27.8,small shareholder(s)  -> Ambuja Cements Ltd [27.8%] -> AMBUJANAGAR CEMENT [100.0%],,Ambuja Cements Ltd,E100001000639,,,450638,AMBUJANAGAR CEMENT,power,electricity-generation
Ambuja Cements Ltd,E100001000639,legal entity,335800NT6LQHR1428E20,4295873304,IND,IND,100.0,Ambuja Cements Ltd -> AMBUJANAGAR CEMENT [100.0%],,Ambuja Cements Ltd,E100001000639,,,450638,AMBUJANAGAR CEMENT,power,electricity-generation
Holderind Investments Ltd,E100001016448,legal entity,529900FXBLML3NUQLV08,5000055965,MUS,MUS,57.02,Holderind Investments Ltd -> Ambuja Cements Ltd [57.02%] -> AMBUJANAGAR CEMENT [100.0%],,Ambuja Cements Ltd,E100001000639,,,450638,AMBUJANAGAR CEMENT,power,electricity-generation
Harmonia Trade and Investments Ltd,E100001016449,legal entity,89450041YW7L53AGSU76,5079708123,MUS,MUS,9.65,Harmonia Trade and Investments Ltd -> Ambuja Cements Ltd [9.65%] -> AMBUJANAGAR CEMENT [100.0%],,Ambuja Cements Ltd,E100001000639,,,450638,AMBUJANAGAR CEMENT,power,electricity-generation
natural person(s) ,E100000123261,person,not applicable,not applicable,,,12.57,natural person(s)  -> UPL Ltd [12.57%] -> ANKALESHWAR CAUSTIC PLANT [100.0%],,UPL Ltd,E100000001942,,,449613,ANKALESHWAR CAUSTIC PLANT,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,7.03,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> UPL Ltd [7.28%] -> ANKALESHWAR CAUSTIC PLANT [100.0%],117782,UPL Ltd,E100000001942,,,449613,ANKALESHWAR CAUSTIC PLANT,power,electricity-generation
Nerka Chemicals Pvt Ltd,E100002000909,legal entity,335800ROF1UEC4LJBX07,5035485421,IND,IND,20.46,Nerka Chemicals Pvt Ltd -> UPL Ltd [20.46%] -> ANKALESHWAR CAUSTIC PLANT [100.0%],,UPL Ltd,E100000001942,,,449613,ANKALESHWAR CAUSTIC PLANT,power,electricity-generation
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,7.28,Life Insurance Corporation of India Ltd -> UPL Ltd [7.28%] -> ANKALESHWAR CAUSTIC PLANT [100.0%],,UPL Ltd,E100000001942,,,449613,ANKALESHWAR CAUSTIC PLANT,power,electricity-generation
Uniphos Enterprises Ltd,E100002000910,legal entity,335800YA5WIOUBJREC54,4295872994,IND,IND,5.27,Uniphos Enterprises Ltd -> UPL Ltd [5.27%] -> ANKALESHWAR CAUSTIC PLANT [100.0%],,UPL Ltd,E100000001942,,,449613,ANKALESHWAR CAUSTIC PLANT,power,electricity-generation
UPL Ltd,E100000001942,legal entity,335800RJSM1SLHO4UA95,4295872797,IND,IND,100.0,UPL Ltd -> ANKALESHWAR CAUSTIC PLANT [100.0%],,UPL Ltd,E100000001942,,,449613,ANKALESHWAR CAUSTIC PLANT,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,54.42,small shareholder(s)  -> UPL Ltd [54.42%] -> ANKALESHWAR CAUSTIC PLANT [100.0%],,UPL Ltd,E100000001942,,,449613,ANKALESHWAR CAUSTIC PLANT,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,51.1,Government of India  -> NTPC Ltd [51.1%] -> ANTA [100.0%],,NTPC Ltd,E100000001926,,,448672,ANTA,power,electricity-generation
NTPC Ltd,E100000001926,legal entity,335800Q4TRGJXNLVMB81,4295874173,IND,IND,100.0,NTPC Ltd -> ANTA [100.0%],,NTPC Ltd,E100000001926,,,448672,ANTA,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,48.9,small shareholder(s)  -> NTPC Ltd [48.9%] -> ANTA [100.0%],,NTPC Ltd,E100000001926,,,448672,ANTA,power,electricity-generation
Ind-Barath Power Infra Ltd,E100000000518,legal entity,not found,5000803447,IND,IND,100.0,Ind-Barath Power Infra Ltd -> Arkay Energy Rameswarm Ltd [100.0%] -> ARKAY VALANTHARVI [100.0%],,Arkay Energy Rameswarm Ltd,E100000002460,,,450633,ARKAY VALANTHARVI,power,electricity-generation
natural person(s) ,E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> ARS Steels & Alloy International Pvt Ltd [unknown %] -> ARS Metals Gummidipoondi captive power station [100.0%],,ARS Steels & Alloy International Pvt Ltd,E100000120018,,,4409256,ARS Metals Gummidipoondi captive power station,power,electricity-generation
